,"2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016"
Oyster Measurements (mm),,,,,,,,,,,
Substrate Shell #1,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/21b640155a8c49b080d01c67326abe29.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2600a0900e4f467b867a6d48cc9168ff.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c1b1e314609c1f17d24834c4a6d28687.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/196c00a3e81f6fd5ca50b7812a126e71.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/10ade740c654708164409971fda26f1f.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ce3ee72f5aa4ea1e41831c58c74c8be4.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/7f3c9f486235232e1be4be012b7a4abf.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9725a09c4bcd723c02a7f6eadcae9c37.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ed6e131c112d75231325885e2e2955b1.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d7e5bf91b36f3dee62bb9edad5af25c7.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/bca9e31d2b01585bafb7b6beaea5ad3f.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates639720361d116ab6baa84c98542da601.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7de96ffad08e5d9bece3031b3eac5426.jpg,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1b.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesae8fed5fa533c2e66b36bf47bf779596.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc0484dfb208379607f1bb2892cf42784.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa5467c333b63f1993dc192a49be13fdf.JPG,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1i.jpeg,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1m.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesb60769e452705341e23d7fb4eef7aa42.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates52e9f9babb0f230ff0f01f3ed9234393.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates22651e641b1808b29673acbfcf4f4280.jpg
Set date,7/6/2016,6/13/2016,,8/13/2016,7/14/2015,7/6/2016,9/21/2016,6/3/2017,7/13/2015,7/14/2015,7/24/2016
Source,"Muscongus Bay, Maine",?,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden
Total number of live oysters at baseline,,,,4,3,,3,8,2,3,
Total mass of live oysters at baseline (g),,,,,,,,0,,,
Total number of live oysters on shell,8,13,9,4,3,7,8,12,2,3,5
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,,,,1,,
Measurements (mm),"10,20,18,27,23,20,19,30","23,17,26,20,22,24,31,25,7,7,9,11,22","20,21,12,15,13,11,12,41,21","35,23,29,25","22,41,25","3.5,4.5,3,3.5,3.5,3,4","28,39,34,34,28,33,27,24","10,10,10,10,10,20,20,30,30,30,40,40","43,44","43,22,31","30,27,19,25,28"
Minimum size of live oysters (mm),10,7,11,23,22,3,24,10,43,22,19
Maximum size of live oysters (mm),30,31,41,35,41,4.5,39,40,44,43,30
Average size of live oysters (mm),20.875,18.76923077,18.44444444,28,29.33333333,3.571428571,30.875,21.66666667,43.5,32,25.8
Substrate Shell #2,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/8cf2f8485f47250ea416999412678ab3.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/df73ca6b6598094888a80db1b6ab3a37.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1dc8d9c9b88f73deb69dcca59ae81b8b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2ad9c1238c0312c227b70cae040f1174.jpg,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/outerSidePhoto1q.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b8986fd8c69731c303f8ba060c8dd619.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/58a6a3733a8aa92fbcf7d956a3eed65c.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/96f0868a0ed0173b8818291861d9e162.JPG,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/outerSidePhoto1e.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0818149921361d165741677f71d66caa.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesde99b35a5ee48bb6624936fdda50b344.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9a2ab352f18343242e44186eff51ef06.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf91556c386812a61e8250d78683bacd2.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates26e78760fa117d3703584c7456dc82af.jpg,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1q.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates2700250dc0422cafe22d1324c393453d.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9b83a3cd260d09fceae4515e51957acd.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3d8eeea9fee8cb304aac4d2dc0ca7756.JPG,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1e.jpeg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3aa5bce81f881151576d2a9dd3086551.jpg
Set date,7/6/2016,4/27/2016,,8/13/2016,7/14/2015,7/6/2016,9/21/2016,6/3/2017,7/11/2015,7/14/2015,7/23/2016
Source,"Muscongus Bay, Maine",?,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden
Total number of live oysters at baseline,,,,5,3,,3,12,,3,
Total mass of live oysters at baseline (g),,,,,,,,0,,,
Total number of live oysters on shell,10,6,9,5,3,11,2,24,12,3,3
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,,,,,,
Measurements (mm),"15,23,10,13,25,19,30,20,35,25","24,25,20,34,22,15","13,15,18,21,25,13,23,17,14","27,31,26,25,20","21,23,29","40,35,45,35,45,30,20,35,30,25,30","45,33","10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40","43,45,24,40,28,32,21,24,29,40,45,51","35,25,25","15,21,27"
Minimum size of live oysters (mm),10,15,13,20,21,20,33,10,21,25,15
Maximum size of live oysters (mm),35,34,25,31,29,45,45,40,51,35,27
Average size of live oysters (mm),21.5,23.33333333,17.66666667,25.8,24.33333333,33.63636364,39,27.08333333,35.16666667,28.33333333,21
Substrate Shell #3,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1bc4b1ad3543adfc77b17207fcb21c32.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/586d210df85e91b6179a36e002d00164.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/983d36e00fad5ab2ed2e3e8f912a63ed.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/590922141530ab8d85bf6779ad7d634f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d8b09b867502aed64f0a7ba4ef24af8c.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cf91752ae79398d295253c0f83706caa.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/3ba29810eecf2b656a4e8f21462c78b6.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/59ea98a670d28a21eeb00071206c1ab1.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ae8b12d6ab9014081c73463171e28975.jpg
