,"Day 8 Tarrytown
Tarrytown Boat Club,
November 3, 2016","Yonkers Day 6
Science Barge,
November 6, 2016","TYWLS Expedition 1
Astoria TYWLS ORS,
November 9, 2016","November 11, 2016
Berkeley Carroll 4th Graders,
November 11, 2016","Expedition 1
The Brooklyn Pearl,
November 11, 2016","Yonkers Day 7
Science Barge,
November 13, 2016","TYWLS Expedition 2
Astoria TYWLS ORS,
November 16, 2016","Full Class Fall Trip
East Harlem,
November 17, 2016","November 2016
PS/MS 188,
November 17, 2016","PS 71 - McMurray Hall (East) Trip #3
SUNY Maritime McMurray Hall East,
November 23, 2016","PS 71- McMurray Hall (WEST) Trip #3
SUNY Maritime McMurray Hall West,
November 23, 2016","Second Expedition
GHS ORS,
November 29, 2016"
Oyster Measurements (mm),,,,,,,,,,,,
Substrate Shell #1,,,,,,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/5fed78bdcbb470194a746c96e70b53fd.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a96f385e40cf1d33887d6a6ae77640b4.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0baec1fa5b501c321243595f5205997a.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0e2341195ddb486e5b7e877c58cb4cb7.JPG
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc3616c3e1ff46608d89891e42e048948.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates03c70e2d9158809f5716b9536e6c6a34.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesae86fd043ef0fd3a73bc2e1c8eafadfa.JPG
Set date,7/14/2015,7/15/2015,7/31/2015,,10/20/2016,7/15/2015,7/31/2015,6/8/2016,12/8/2016,7/15/2015,,11/17/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",East River,"Muscongus Bay, Maine",,Wallabout Channel
Total number of live oysters at baseline,3,,4,,7,,4,13,30,3,,2
Total mass of live oysters at baseline (g),,,3.8,,2.08,,3.8,,,,,45
Total number of live oysters on shell,3,4,0,0,6,4,1,9,3,4,1,2
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,78.5,0,1.98,0,35,78.1,3,0,0,41
Measurements (mm),"56,57,34","61,62,42,13",,,"50,47,30,37,20,22","61,64,13,40",99999,"41,22.3,22.4,25.7,24,35,25.7,20,42","7,3,4","45,64,36,30",,"40,95"
Minimum size of live oysters (mm),34,13,0,,20,13,99999,20,3,30,0,40
Maximum size of live oysters (mm),57,62,0,,50,64,99999,42,7,64,0,95
Average size of live oysters (mm),49,44.5,0,,34.33333333,44.5,99999,28.67777778,4.666666667,43.75,0,67.5
Substrate Shell #2,,,,,,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b096fc48400d2cc538f9356d21022abc.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cbdf9e19bbb5f0a727b9f5c2f727d4b9.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/05ab3d667184e5e4cb4ca59602750af0.JPG
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese45c9cba92592ceb76ccbcb512a49591.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7f1c590c220f3d85b163d7aeb6fa55a7.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7954e8897492bae8ebf12dedb8b953e4.JPG
Set date,7/14/2015,7/15/2015,7/31/2015,,,7/15/2015,7/31/2015,6/9/2016,,7/15/2015,5/15/2017,11/18/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel
Total number of live oysters at baseline,3,,6,,,,6,9,,0,2,4
Total mass of live oysters at baseline (g),,,5.2,,,,5.2,,,,0,105
Total number of live oysters on shell,3,4,0,4,3,4,1,7,3,3,0,2
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,68.5,0,1.45,0,50,96.5,3,0,0,71
Measurements (mm),"37,35,34","46,41,45,40",,"64,37,60,34","54,20,23","42,47,45,40",99999,"52.4,42.2,43.6,26.2,27.1,68.5,60.2","4,4,4","50,60,34",,"90,45"
Minimum size of live oysters (mm),34,40,0,34,20,40,99999,26.2,4,34,,45
Maximum size of live oysters (mm),37,46,0,64,54,47,99999,68.5,4,60,,90
Average size of live oysters (mm),35.33333333,43,0,48.75,32.33333333,43.5,99999,45.74285714,4,48,,67.5
Substrate Shell #3,,,,,,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a17aa6bd7d46bf069693ed8ac725cdb8.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/e1ede86efdc49fd943be2dfcedb69c1a.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/46e9e06e9e3f2b14dc8c9ef98fd35ccd.JPG
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates651c7e96e447373a6b86b0bedc972ee6.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesdd7583e2d7eb0c62acd63cf8b3a5f40d.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5bb60c8bee14ba5fa510709cec86d7b7.JPG
Set date,7/14/2015,7/15/2015,7/31/2015,,10/20/2016,7/15/2015,7/31/2015,6/9/2016,12/8/2016,,,11/18/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",East River,,,Wallabout Channel
Total number of live oysters at baseline,6,,21,,16,,21,6,30,,,6
Total mass of live oysters at baseline (g),,,8,,3.7,,8,,,,,106
Total number of live oysters on shell,0,3,1,0,16,3,1,2,3,4,0,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,55.8,0,4.09,0,55.8,34.8,3,0,0,100
Measurements (mm),,"47,62,56",99999,,"41,34,28,49,42,27,28,19,26,16,30,30,41,45,28,21","60,45,53",99999,"34.1,29.1","2.5,7,5","45,45,51,30",,"50,55,30,40,55"
Minimum size of live oysters (mm),0,47,99999,0,16,45,99999,29.1,2.5,30,,30
Maximum size of live oysters (mm),0,62,99999,0,49,60,99999,34.1,7,51,,55
Average size of live oysters (mm),0,55,99999,0,31.5625,52.66666667,99999,31.6,4.833333333,42.75,,46
Substrate Shell #4,,,,,,,,,,,,
Outer side photo,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c1dab943f0eaf861a8a7f17c35412d56.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c41aa55a1402ff7881d9ed3cc3f59fe5.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/abf5202018a8059ad98830b04569b678.JPG
Inner side photo,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesefe0d47c514e25629e8c16281a739c82.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf087063ed1bb7f835be9152c18b68ed8.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf5fa7995ca3f526e9e5e2b75fa0a0c60.JPG
Set date,7/14/2015,7/15/2015,7/31/2015,,,7/15/2015,7/31/2015,6/9/2016,,,7/14/2015,11/17/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine",Wallabout Channel
Total number of live oysters at baseline,3,,21,,,,21,7,,,0,4
Total mass of live oysters at baseline (g),,,6.3,,,,6.3,,,,0,41
Total number of live oysters on shell,3,8,1,5,2,8,0,4,3,9,0,7
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,64.7,1,1.34,0,64.7,84.9,3,0,0,71
Measurements (mm),"48,39,43","39,45,55,57,51,40,39,49",99999,"36,45,60,40,20","40,35","36,45,54,57,56,49,44,40",,"65.6,58.2,67,42.5","3,4,3.5","40,25,55,30,25,70,20,25,20",,"50,30,35,45,30,20,30"
Minimum size of live oysters (mm),39,39,99999,20,35,36,0,42.5,3,20,,20
Maximum size of live oysters (mm),48,57,99999,60,40,57,0,67,4,70,,50
Average size of live oysters (mm),43.33333333,46.875,99999,40.2,37.5,47.625,0,58.325,3.5,34.44444444,,34.28571429
Substrate Shell #5,,,,,,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/30a3e96015a12e877314013570f3bd33.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d5c10b4191e87f5869109e40fff2b99f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/41094166fa679485384025dc10d899e3.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/e6e05a9d3ff8aee6b0a85c2881e1961e.JPG
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates2a57e8a0447041c2e466477ade636d87.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesbfa63beca8b38c1fa5f2d65d87a28a93.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates94c20f7e17989715960f88dbf293839d.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf7e5a7dd6ce64825ebbd8e1230246931.JPG
Set date,7/20/2016,7/15/2015,7/31/2015,,,7/15/2015,7/31/2015,6/9/2016,12/8/2016,,,11/19/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",East River,,,Wallabout Channel
Total number of live oysters at baseline,,,8,,,,8,9,30,,,3
Total mass of live oysters at baseline (g),,,8.4,,,,8.4,,,,,23
Total number of live oysters on shell,0,14,0,7,13,13,0,8,3,2,0,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,74.8,0,2.73,0,74.8,87.8,3,0,0,31
Measurements (mm),,"64,54,49,53,43,47,60,32,60,60,56,55,41,44",,"50,40,45,70,35,25,30","24,29,38,43,28,27,23,19,26,30,18,27,31","61,54,39,43,58,48,52,64,58,46,30,58,59",,"48.9,48.5,47.5,37,40.1,35.1,24.2,30.4","4,4.5,3","53,47",,"35,15,55,25,40"
Minimum size of live oysters (mm),0,32,0,25,18,30,0,24.2,3,47,,15
Maximum size of live oysters (mm),0,64,0,70,43,64,0,48.9,4.5,53,,55
