,"Tarrytown Day 5
Tarrytown Boat Club,
September 2, 2016","2016-09-04 Monitoring
Katy's Cage on Brooklyn Barge,
September 4, 2016","bearbower2
Bearbower,
September 4, 2016","Sept 2016
L+N Oysters,
September 10, 2016","2016-03
Transmitter Park,
September 17, 2016","Yonkers September 24
Science Barge,
September 24, 2016","Day 6 Tarrytown
Tarrytown Boat Club,
September 25, 2016"
Oyster Measurements (mm),,,,,,,
Substrate Shell #1,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/daaca503b56d19499efdcde552dd65d9.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4302404d2e630227eea9b66b4ebe5798.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/3fed334b3646b87d9c49bd592aca80e6.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/70dcd43d06d394f232e44844a5e6f5a4.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b62ff55e1f92b6cfb293452b85139d4d.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5ecb6f69e0e7c20e31e3be47520fe56e.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates16f1fb0ed8f206f4bc0e9b0e898a03de.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9e810c2ea3ee93bb79886942f5e8da0f.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf31fbc1166c5f5aea0fa4249e4c45e30.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates65ba9bdf23505d42ced5827414bc4442.jpg
Set date,7/14/2015,8/15/2015,6/3/2017,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,3,2,8,1,,,3
Total mass of live oysters at baseline (g),,,0,,,,
Total number of live oysters on shell,3,4,9,1,1,4,3
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"31,47,50","30,29,27,24","25,50,50,40,35,55,70,25,40",58,40,"61,53,34,40","52,39,36"
Minimum size of live oysters (mm),31,24,25,58,40,34,36
Maximum size of live oysters (mm),50,30,70,58,40,61,52
Average size of live oysters (mm),42.66666667,27.5,43.33333333,58,40,47,42.33333333
Substrate Shell #2,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/18676dac9eaae1275edc189550a2b834.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/12ee7c83b11f7e27aff4166b8247a065.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/170bd55147f6c70b7d074cbe18f8b8a3.jpg,
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates0183e6de74d5ac40c808d8e97b1cadfe.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates39570c6d19f901add7abb6ded9a21330.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates394a94e485adfbf792139c4fd61ddabf.jpg,
Set date,7/14/2015,8/15/2015,6/3/2017,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,3,2,12,9,,,3
Total mass of live oysters at baseline (g),,,0,,,,
Total number of live oysters on shell,3,2,0,0,2,4,3
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"38,36,35","31,37",,,"45,45","7,43,41,36","43,46,35"
Minimum size of live oysters (mm),35,31,,0,45,7,35
Maximum size of live oysters (mm),38,37,,0,45,43,46
Average size of live oysters (mm),36.33333333,34,,0,45,31.75,41.33333333
Substrate Shell #3,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/7b60b24676cf6e691f1c5ef823aac4a3.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f68baaa42c503f859d87a98a46faeeda.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cddba527d635fe71ddae232655181f18.jpg,
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates8972d9d02969aa133631df1881a89383.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5c40256f1bdfac714023123744c00a81.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf4003bdfc81c5f71160453167bc23b9d.jpg,
Set date,7/14/2015,8/15/2015,6/3/2017,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,6,1,9,7,10,,6
Total mass of live oysters at baseline (g),,,0,,,,
Total number of live oysters on shell,0,1,0,7,5,3,0
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),,43,,"40,28,31,22,16,41,47","45,35,35,35,50","59,42,50",
Minimum size of live oysters (mm),,43,,16,35,42,0
Maximum size of live oysters (mm),,43,,47,50,59,0
Average size of live oysters (mm),,43,,32.14285714,40,50.33333333,0
Substrate Shell #4,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/abe33617372c96d9121189f571941fb0.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d4b5589d0f6e747e5a62b9bb8c60cd16.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2aeb1d2e55417f81153a5ce74ff047be.jpg,
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesab8004d04610b99adfeebf9663b17bd4.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5e52bb55da8cb16412ccf8f9770b13a0.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc7ecf116835c40430f6906692a8f6dc8.jpg,
Set date,7/14/2015,8/15/2015,6/4/2017,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,3,2,12,7,5,,3
Total mass of live oysters at baseline (g),,,0,,,,
Total number of live oysters on shell,3,2,0,0,1,8,3
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"41,44,35","24,41",,,45,"35,41,48,55,52,58,33,31","42,46,40"
Minimum size of live oysters (mm),35,24,,0,45,31,40
Maximum size of live oysters (mm),44,41,,0,45,58,46
Average size of live oysters (mm),40,32.5,,0,45,44.125,42.66666667
Substrate Shell #5,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c31e2151c5b4168ba790dbebf723482a.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/eb040a0a3b424d0ea7dc9a8b56a4fb58.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f41f22cd8f1b7973b554ce43235b06c2.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f4d27ecc6b148b3bfa14075b6d2ab39d.jpg,
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates19718c58b2e92c564a4f23581a948282.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates93e0edc8b4ce7c2cd875ddb07cd60dc8.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrateseac8bd3c56060d956d2cb3e088967329.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates95391566b41b955523d344b89bc599be.jpg,
Set date,7/20/2016,8/15/2015,6/3/2017,1/1/1970,7/6/2016,7/15/2015,7/20/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,,5,19,1,7,,
Total mass of live oysters at baseline (g),,,0,,,,
Total number of live oysters on shell,0,5,0,0,2,13,0
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),,"19,30,42,30,28",,,"45,45","48,43,29,42,43,50,50,49,60,46,41,52,42",
Minimum size of live oysters (mm),,19,,0,45,29,0
Maximum size of live oysters (mm),,42,,0,45,60,0
Average size of live oysters (mm),,29.8,,0,45,45.76923077,0
Substrate Shell #6,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b0bb39832631fc13451c0486511c9ef9.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/29540444cf2c46f845a8300a1da2e511.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6825461ec57149be318960a04f1b8290.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b21912506dcf3e2205793f2bac5e4331.jpg,
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates16007b6e11de4ee71a4efef83412657c.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates30f122c76b87a108a774e8a760931044.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates03b3507c9e528d4c0be27a63dd9d7f3f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates63c0a065f66af9e69c711576db5ea78e.jpg,
Set date,7/14/2015,8/15/2015,,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,5,2,,4,6,,5
Total mass of live oysters at baseline (g),,,,,,,
Total number of live oysters on shell,5,3,0,0,3,12,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"45,31,40,44,56","30,14,31",,,"30,45,45","49,34,46,39,42,41,48,29,27,47,41,42","64,51,47,44,47"
